Item Name,Part No,CPU Socket,Chipset,Manufacturer URL
ASUS ROG STRIX B460-F GAMING,90MB13R0-M0UAY0,LGA 1200,B460,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b460-f-gaming-model/
ASUS ROG STRIX Z490-E GAMING,90MB12P0-M0UAY0,LGA 1200,Z490,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z490-e-gaming-model/
ASUS ROG MAXIMUS XII APEX,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-xii-apex-model/
ASUS PRIME H310T R2.0/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H310T-R2-0-CSM/
ASUS EX-A320M-GAMING,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Expedition/EX-A320M-GAMING/
ASUS Pro WS X299 SAGE II,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Pro-WS-X299-SAGE-II/
ASUS ROG Zenith II Extreme,,,,https://rog.asus.com/my/motherboards/rog-zenith/rog-zenith-ii-extreme-model/
ASUS ROG Strix TRX40-E Gaming,90MB12E0-M0MAY0,TR4,TRX40,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-trx40-e-gaming-model/
ASUS Prime TRX40-Pro,,R4,TRX40,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/Prime-TRX40-Pro/
ASUS PRIME H310M-K,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H310M-K/
ASUS PRIME X570-P/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-X570-P-CSM/
ASUS PRIME H310M-D R2.0/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H310M-D-R2-0-CSM/
ASUS P10S WS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/P10S-WS/
ASUS PRIME H310M-D/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H310M-D-CSM/
ASUS H110M-K,,R4,H110,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/H110M-K/
ASUS WS C621E SAGE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-C621E-SAGE/
ASUS PRIME A320M-K,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-A320M-K/
ASUS H110M-D,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/H110M-D/
ASUS H81M-K,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Business/H81MK/
ASUS Z10PE-D16 WS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Z10PED16_WS/
ASUS WS X299 SAGE/10G,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-X299-SAGE-10G/
ASUS P10S-M WS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/P10S-M-WS/
ASUS WS C422 SAGE/10G,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-C422-SAGE-10G/
ASUS WS X299 SAGE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-X299-SAGE/
ASUS WS X299 PRO,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-X299-PRO/
ASUS WS C422 PRO/SE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-C422-PRO-SE/
ASUS WS C246M PRO,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-C246M-PRO/
ASUS WS C246 PRO,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-C246-PRO/
ASUS Z10PE-D8 WS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Z10PED8_WS/
ASUS WS X299 PRO/SE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-X299-PRO-SE/
